dimension,experiment,epochs,batch_size,timesteps,base_channels,max_train_samples,final_loss,best_loss,training_seconds,parameter_count
epochs,epochs_10,10,128,300,32,10000,0.050253645718097685,0.050253645718097685,38.02530319523066,1980417
epochs,epochs_20,20,128,300,32,10000,0.040691468900442125,0.040691468900442125,74.3125354507938,1980417
epochs,epochs_5,5,128,300,32,10000,0.06319188778400421,0.06319188778400421,19.732864601537585,1980417
max_train_samples,samples_10000,20,128,300,32,10000,0.040691468900442125,0.040691468900442125,73.88030327949673,1980417
max_train_samples,samples_2000,20,128,300,32,2000,0.06809108775854111,0.06430932804942131,22.591932641342282,1980417
max_train_samples,samples_5000,20,128,300,32,5000,0.05141469577550888,0.0493282646894455,43.697705631144345,1980417
timesteps,timesteps_100,20,128,100,32,10000,0.05744533108472824,0.05744533108472824,77.2834931043908,1980417
timesteps,timesteps_300,20,128,300,32,10000,0.040691468900442125,0.040691468900442125,75.47546125296503,1980417
timesteps,timesteps_500,20,128,500,32,10000,0.03304880868196487,0.03304880868196487,76.31731830816716,1980417
